Metric,train_loss,train_acc,train_ce_loss,train_kl_loss,train_task_loss,val_loss,val_acc,val_ce_loss,val_kl_loss,val_task_loss,val_ce_loss_t,val_ce_loss_v,val_ce_loss_a,val_kl_loss_t,val_kl_loss_v,val_kl_loss_a,train_ce_loss_t,train_ce_loss_v,train_ce_loss_a,train_kl_loss_t,train_kl_loss_v,train_kl_loss_a,coeff,comb,dataset
199,0.3757,99.5,0.1778,0.1779,0.0199,4.4228,71.47,2.2571,0.8363,1.3294,1.6927,1.1579,1.6636,0.3127,0.2877,0.3798,0.056,0.2615,0.0382,0.0368,0.2294,0.0264,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,0.50",IEMO
199,1.6914,81.92,1.1485,0.0194,0.5236,2.6585,65.17,1.5811,0.008,1.0694,1.0714,1.0435,1.0472,0.0017,0.0047,0.0039,0.6038,0.8616,0.8315,0.0033,0.0116,0.0102,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,0.50",MELD
199,0.3867,99.69,0.1947,0.1747,0.0174,5.2049,71.66,3.2019,0.6821,1.3209,1.6696,1.1391,1.7975,0.2386,0.2899,0.597,0.0643,0.2624,0.0313,0.0379,0.2313,0.0423,coeff_0p5,"comb_0.50,1.00,0.50,1.00,0.50,0.50",IEMO
199,2.1057,81.47,1.5572,0.0143,0.5341,3.1749,65.29,2.1022,0.0059,1.0668,1.0692,1.0469,1.0441,0.0016,0.0047,0.004,0.613,0.8613,0.8201,0.0033,0.0117,0.0104,coeff_0p5,"comb_0.50,1.00,0.50,1.00,0.50,0.50",MELD
199,0.5078,99.21,0.2316,0.2467,0.0296,5.8569,71.6,3.875,0.7638,1.2181,1.6783,1.1376,1.6279,0.4634,0.237,0.2952,0.0606,0.2567,0.0426,0.0588,0.1864,0.0309,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,1.00",IEMO
199,2.4167,81.27,1.8513,0.0204,0.545,3.6974,65.48,2.6394,0.0079,1.0501,1.0738,1.0457,1.0428,0.0016,0.0039,0.0032,0.6011,0.8602,0.82,0.003,0.01,0.0088,coeff_0p5,"comb_1.00,1.00,0.50,0.50,1.00,1.00",MELD
199,0.5,98.92,0.2168,0.2457,0.0374,4.9089,71.66,2.9079,0.8276,1.1734,1.612,1.1686,1.4231,0.2598,0.2193,0.3485,0.0608,0.2541,0.0579,0.0397,0.1695,0.0365,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,1.00",IEMO
199,1.9986,81.63,1.4407,0.0228,0.5351,3.1841,65.4,2.1188,0.0091,1.0562,1.0753,1.0425,1.0444,0.0016,0.0041,0.0034,0.5932,0.8622,0.8328,0.003,0.0105,0.0094,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,1.00",MELD
199,0.6127,99.14,0.3564,0.2222,0.0341,6.1059,71.41,4.3527,0.5717,1.1815,1.5802,1.1739,1.5985,0.3319,0.1826,0.4462,0.0623,0.2543,0.0398,0.0541,0.1706,0.0491,coeff_0p5,"comb_1.00,1.00,1.00,0.50,0.50,1.00",IEMO
199,2.8418,81.1,2.2745,0.0162,0.5511,4.2157,65.4,3.1599,0.0064,1.0494,1.0719,1.0445,1.0436,0.0014,0.0039,0.0034,0.6062,0.849,0.8194,0.0029,0.0101,0.0092,coeff_0p5,"comb_1.00,1.00,1.00,0.50,0.50,1.00",MELD
199,0.5226,99.55,0.338,0.168,0.0165,5.8453,70.79,3.7897,0.6856,1.3699,1.7576,1.1662,1.7317,0.4915,0.3338,0.273,0.0572,0.261,0.0396,0.0533,0.2368,0.023,coeff_0p5,"comb_1.00,0.50,1.00,0.50,1.00,0.50",IEMO
199,2.4265,81.27,1.8676,0.0164,0.5425,3.7023,65.21,2.6387,0.0065,1.057,1.0739,1.0411,1.0474,0.0016,0.0043,0.0035,0.6008,0.8509,0.8319,0.0031,0.0108,0.0095,coeff_0p5,"comb_1.00,0.50,1.00,0.50,1.00,0.50",MELD
199,0.6162,99.0,0.3433,0.2369,0.0361,5.2062,72.27,3.383,0.6752,1.148,1.3944,1.1445,1.5414,0.3838,0.2235,0.2597,0.0838,0.2573,0.0441,0.0644,0.1737,0.031,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,1.00",IEMO
199,2.545,81.11,1.9778,0.0203,0.5469,3.6847,65.52,2.6247,0.0079,1.0522,1.0648,1.0458,1.0464,0.0016,0.0038,0.0032,0.6208,0.849,0.8184,0.0032,0.0099,0.0088,coeff_0p5,"comb_0.50,1.00,1.00,0.50,1.00,1.00",MELD
199,0.4014,99.62,0.2092,0.1748,0.0175,5.5296,70.06,3.3928,0.6871,1.4497,1.9715,1.1656,1.6769,0.2413,0.298,0.5937,0.0555,0.2662,0.0412,0.033,0.237,0.0465,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,0.50",IEMO
199,1.9885,81.66,1.4423,0.0144,0.5318,3.1927,65.21,2.1198,0.0059,1.0669,1.0774,1.0416,1.0434,0.0015,0.0048,0.0041,0.5931,0.8639,0.8345,0.003,0.0119,0.0107,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,0.50",MELD
199,0.4056,99.52,0.2036,0.1841,0.0178,5.483,71.1,3.2392,0.8733,1.3705,1.8452,1.142,1.6459,0.3256,0.3169,0.3892,0.0529,0.2607,0.0408,0.0367,0.2345,0.0301,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,0.50",IEMO
199,1.9935,81.65,1.4415,0.0185,0.5335,3.1886,65.33,2.1198,0.0075,1.0613,1.0766,1.0413,1.0451,0.0016,0.0045,0.0037,0.5933,0.8635,0.8329,0.003,0.0113,0.0099,coeff_0p5,"comb_1.00,0.50,0.50,1.00,1.00,0.50",MELD
199,0.5151,99.48,0.3124,0.1809,0.0218,4.8891,71.35,2.7821,0.798,1.309,1.6348,1.1268,1.6759,0.3036,0.282,0.3534,0.0662,0.2582,0.0421,0.0418,0.2207,0.0288,coeff_0p5,"comb_0.50,0.50,1.00,1.00,1.00,0.50",IEMO
