accuracy,coeff,comb,dataset
0.6739463601532567,coeff_1p2,"comb_1.00,1.20,1.20,1.20,1.00,1.20",MELD
0.6754789272030651,coeff_1p2,"comb_1.20,1.20,1.00,1.20,1.20,1.20",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.00,1.00,1.20,1.20,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.20,1.00,1.00,1.00,1.00",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.00,1.20,1.20,1.20,1.00",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.00,1.00,1.20,1.20,1.20",MELD
0.6743295019157088,coeff_1p2,"comb_1.00,1.20,1.20,1.00,1.20,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.20,1.20,1.00,1.00,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.00,1.20,1.20,1.00,1.00,1.20",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.00,1.20,1.20,1.00,1.00",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.00,1.20,1.20,1.00,1.20",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.20,1.00,1.00,1.00,1.20",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.20,1.00,1.20,1.20,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.00,1.20,1.00,1.00,1.20",MELD
0.675095785440613,coeff_1p2,"comb_1.20,1.00,1.20,1.00,1.20,1.20",MELD
0.675095785440613,coeff_1p2,"comb_1.20,1.20,1.20,1.00,1.00,1.20",MELD
0.674712643678161,coeff_1p2,"comb_1.00,1.20,1.20,1.00,1.20,1.20",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.20,1.20,1.20,1.20,1.00",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.00,1.00,1.00,1.00,1.20",MELD
0.674712643678161,coeff_1p2,"comb_1.20,1.00,1.00,1.00,1.20,1.20",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.00,1.00,1.20,1.00,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.20,1.20,1.00,1.20,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.20,1.00,1.20,1.00,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.00,1.20,1.00,1.20,1.20,1.20",MELD
0.6743295019157088,coeff_1p2,"comb_1.00,1.20,1.20,1.00,1.00,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.00,1.20,1.00,1.00,1.00",MELD
0.6743295019157088,coeff_1p2,"comb_1.20,1.00,1.20,1.00,1.20,1.00",MELD
0.675095785440613,coeff_1p2,"comb_1.20,1.00,1.20,1.20,1.20,1.20",MELD
