character,center_emotion,position,context_emotion,count,ratio
Joey,anger,next,sadness,2,0.25
Joey,anger,prev,joy,0,0.0
Joey,anger,next,joy,0,0.0
Joey,anger,prev,disgust,0,0.0
Joey,anger,next,disgust,0,0.0
Joey,anger,prev,anger,2,0.6666666666666666
Joey,anger,next,anger,4,0.5
Rachel,neutral,prev,neutral,1,0.5
Rachel,neutral,next,neutral,1,1.0
Rachel,neutral,prev,surprise,0,0.0
Rachel,neutral,next,surprise,0,0.0
Rachel,neutral,prev,fear,0,0.0
Rachel,neutral,next,fear,0,0.0
Rachel,neutral,prev,sadness,0,0.0
Rachel,neutral,next,sadness,0,0.0
Rachel,neutral,prev,joy,0,0.0
Rachel,neutral,next,joy,0,0.0
Rachel,neutral,prev,disgust,0,0.0
Rachel,neutral,next,disgust,0,0.0
Rachel,neutral,prev,anger,1,0.5
Rachel,neutral,next,anger,0,0.0
Rachel,surprise,prev,neutral,0,0.0
Rachel,surprise,next,neutral,0,0.0
Rachel,surprise,prev,surprise,0,0.0
Rachel,surprise,next,surprise,0,0.0
Rachel,surprise,prev,fear,0,0.0
Rachel,surprise,next,fear,0,0.0
Rachel,surprise,prev,sadness,0,0.0
Rachel,surprise,next,sadness,0,0.0
Rachel,surprise,prev,joy,0,0.0
Rachel,surprise,next,joy,0,0.0
Rachel,surprise,prev,disgust,0,0.0
Rachel,surprise,next,disgust,0,0.0
Rachel,surprise,prev,anger,0,0.0
Rachel,surprise,next,anger,0,0.0
Rachel,fear,prev,neutral,0,0.0
Rachel,fear,next,neutral,1,1.0
Rachel,fear,prev,surprise,0,0.0
Rachel,fear,next,surprise,0,0.0
Rachel,fear,prev,fear,0,0.0
Rachel,fear,next,fear,0,0.0
Rachel,fear,prev,sadness,1,1.0
Rachel,fear,next,sadness,0,0.0
Rachel,fear,prev,joy,0,0.0
Rachel,fear,next,joy,0,0.0
Rachel,fear,prev,disgust,0,0.0
Rachel,fear,next,disgust,0,0.0
Rachel,fear,prev,anger,0,0.0
Rachel,fear,next,anger,0,0.0
Rachel,sadness,prev,neutral,2,0.5
Rachel,sadness,next,neutral,0,0.0
Rachel,sadness,prev,surprise,0,0.0
Rachel,sadness,next,surprise,0,0.0
Rachel,sadness,prev,fear,0,0.0
Rachel,sadness,next,fear,1,0.25
Rachel,sadness,prev,sadness,2,0.5
Rachel,sadness,next,sadness,3,0.75
Rachel,sadness,prev,joy,0,0.0
Rachel,sadness,next,joy,0,0.0
Rachel,sadness,prev,disgust,0,0.0
Rachel,sadness,next,disgust,0,0.0
Rachel,sadness,prev,anger,0,0.0
Rachel,sadness,next,anger,0,0.0
Rachel,joy,prev,neutral,0,0.0
Rachel,joy,next,neutral,3,0.75
Rachel,joy,prev,surprise,0,0.0
Rachel,joy,next,surprise,0,0.0
Rachel,joy,prev,fear,0,0.0
Rachel,joy,next,fear,0,0.0
Rachel,joy,prev,sadness,0,0.0
Rachel,joy,next,sadness,0,0.0
Rachel,joy,prev,joy,1,1.0
Rachel,joy,next,joy,0,0.0
Rachel,joy,prev,disgust,0,0.0
Rachel,joy,next,disgust,0,0.0
Rachel,joy,prev,anger,0,0.0
Rachel,joy,next,anger,1,0.25
Rachel,disgust,prev,neutral,0,0.0
Rachel,disgust,next,neutral,0,0.0
Rachel,disgust,prev,surprise,0,0.0
Rachel,disgust,next,surprise,0,0.0
Rachel,disgust,prev,fear,0,0.0
Rachel,disgust,next,fear,0,0.0
Rachel,disgust,prev,sadness,0,0.0
Rachel,disgust,next,sadness,0,0.0
Rachel,disgust,prev,joy,0,0.0
Rachel,disgust,next,joy,0,0.0
Rachel,disgust,prev,disgust,0,0.0
Rachel,disgust,next,disgust,0,0.0
Rachel,disgust,prev,anger,0,0.0
Rachel,disgust,next,anger,1,1.0
Rachel,anger,prev,neutral,2,0.6666666666666666
Rachel,anger,next,neutral,2,0.5
Rachel,anger,prev,surprise,0,0.0
Rachel,anger,next,surprise,0,0.0
Rachel,anger,prev,fear,0,0.0
Rachel,anger,next,fear,0,0.0
Rachel,anger,prev,sadness,0,0.0
Rachel,anger,next,sadness,0,0.0
Rachel,anger,prev,joy,0,0.0
Rachel,anger,next,joy,0,0.0
Rachel,anger,prev,disgust,1,0.3333333333333333
Rachel,anger,next,disgust,0,0.0
Rachel,anger,prev,anger,0,0.0
Rachel,anger,next,anger,2,0.5
other,neutral,prev,neutral,7,0.7777777777777778
other,neutral,next,neutral,4,0.5714285714285714
other,neutral,prev,surprise,0,0.0
other,neutral,next,surprise,0,0.0
other,neutral,prev,fear,0,0.0
other,neutral,next,fear,0,0.0
other,neutral,prev,sadness,0,0.0
other,neutral,next,sadness,1,0.14285714285714285
other,neutral,prev,joy,2,0.2222222222222222
other,neutral,next,joy,1,0.14285714285714285
other,neutral,prev,disgust,0,0.0
other,neutral,next,disgust,0,0.0
other,neutral,prev,anger,0,0.0
other,neutral,next,anger,1,0.14285714285714285
other,surprise,prev,neutral,0,0.0
other,surprise,next,neutral,1,0.2
other,surprise,prev,surprise,0,0.0
other,surprise,next,surprise,0,0.0
other,surprise,prev,fear,0,0.0
other,surprise,next,fear,0,0.0
other,surprise,prev,sadness,0,0.0
other,surprise,next,sadness,0,0.0
other,surprise,prev,joy,2,1.0
other,surprise,next,joy,1,0.2
other,surprise,prev,disgust,0,0.0
other,surprise,next,disgust,0,0.0
other,surprise,prev,anger,0,0.0
other,surprise,next,anger,3,0.6
other,fear,prev,neutral,1,0.5
other,fear,next,neutral,1,1.0
other,fear,prev,surprise,0,0.0
other,fear,next,surprise,0,0.0
other,fear,prev,fear,0,0.0
other,fear,next,fear,0,0.0
other,fear,prev,sadness,1,0.5
other,fear,next,sadness,0,0.0
other,fear,prev,joy,0,0.0
other,fear,next,joy,0,0.0
other,fear,prev,disgust,0,0.0
other,fear,next,disgust,0,0.0
other,fear,prev,anger,0,0.0
other,fear,next,anger,0,0.0
other,sadness,prev,neutral,2,0.5
other,sadness,next,neutral,5,0.7142857142857143
